CustomerId,ChurnProbability,Cluster,Exited,Balance,CreditScore
15588614,0.96,2,1,0.0,753
15641158,0.7,2,1,102128.27,739
15750014,0.12,0,0,113865.23,755
15663964,0.0,1,0,0.0,561
15573520,0.18,0,0,110540.43,692
15645045,0.0,1,0,0.0,659
15617052,0.7,2,1,0.0,782
15716835,0.0,0,0,156325.38,546
15763612,0.01,0,0,124439.49,756
15705113,0.1,2,0,83264.28,685
15649150,0.97,2,1,127642.44,531
15670552,0.03,2,0,115141.18,560
15752488,0.02,0,0,102289.85,733
15740602,0.07,0,0,111568.01,674
15621140,0.0,1,0,0.0,644
15793324,0.08,1,0,0.0,695
15810716,0.08,2,0,151836.36,750
15729689,0.0,0,0,98585.94,754
15768474,0.01,1,0,0.0,744
15773723,0.69,0,1,67178.19,588
15690898,0.1,2,0,161889.79,696
15613189,0.94,2,1,56580.93,774
15634719,0.05,1,0,0.0,704
15699450,0.01,1,0,0.0,723
15616280,0.22,2,0,65733.41,536
15794875,0.0,1,0,0.0,691
15673578,0.15,2,0,128486.91,611
15709135,0.04,2,0,101231.77,691
15755225,0.01,2,0,134464.58,659
15701522,0.03,1,0,0.0,711
15716994,0.61,2,1,114739.92,559
15725141,0.71,2,1,109528.28,716
15662501,0.77,2,1,91246.53,583
15734674,0.15,2,0,0.0,593
15787189,0.91,1,1,134250.17,824
15587299,0.24,2,0,0.0,567
15605263,0.02,0,0,140931.57,552
15748481,0.01,2,0,0.0,564
15589428,0.06,1,0,0.0,756
15638803,0.01,1,0,0.0,733
15595037,0.13,0,0,152347.01,772
15719940,0.78,2,1,115280.49,628
15573284,0.01,1,0,0.0,579
15594917,0.03,0,0,63095.01,676
15656300,0.04,1,0,59697.17,411
15687372,0.85,2,1,121537.71,547
15649060,0.01,2,0,82729.47,727
15812356,0.12,0,0,89175.06,722
15590201,0.93,1,1,0.0,500
15691874,0.01,2,0,125474.44,687
15686974,0.93,0,1,0.0,751
15598070,0.05,2,0,135946.26,564
15792064,0.98,2,1,114421.55,545
15590623,0.04,0,0,85141.79,561
15753174,0.95,1,1,139592.98,571
15787619,0.08,2,0,160980.03,844
15665802,0.0,1,0,0.0,642
15686436,0.01,1,0,0.0,523
15636590,0.0,1,0,0.0,575
15736299,0.02,2,0,109106.8,729
15672594,0.93,2,1,131778.08,597
15681115,0.02,0,0,108935.39,787
15622897,0.98,1,1,0.0,646
15717225,0.03,2,0,161525.96,544
15574372,0.01,2,0,161274.05,738
15761554,0.91,2,1,89299.81,581
15695792,0.06,0,0,0.0,673
15672144,0.62,0,1,144432.04,667
15699830,0.03,1,0,0.0,721
15595713,0.04,0,0,0.0,548
15687903,0.0,1,0,0.0,501
15673877,0.83,1,1,0.0,490
15786042,0.09,2,0,185932.18,706
15766667,0.01,0,0,102989.83,717
15760063,0.02,1,0,0.0,595
15776433,0.02,1,0,0.0,730
15593636,0.14,2,0,80293.81,657
15612594,0.0,1,0,0.0,599
15761024,0.03,0,0,167733.51,619
15584897,0.0,2,0,98360.03,639
15781451,0.08,2,0,134936.97,504
15667046,0.05,2,0,121527.4,694
15617136,0.04,0,0,61482.47,451
15601274,0.03,2,0,146502.07,667
15776844,0.0,1,0,0.0,762
15767818,0.18,2,0,132436.34,640
15579040,0.22,1,0,0.0,556
15780124,0.02,0,0,108131.53,841
15751455,0.92,2,1,0.0,469
15750837,0.14,0,0,141749.68,579
15703563,0.0,2,0,93017.47,774
15721024,0.01,2,0,0.0,642
15727177,0.78,2,1,177822.03,557
15767358,0.18,2,0,97486.15,711
15622171,0.01,2,0,80964.57,642
15593715,0.07,2,0,107027.52,634
15752463,0.03,0,0,129938.07,826
15567114,0.06,2,0,118894.22,430
15783816,0.0,1,0,0.0,733
15620746,0.13,2,0,126115.6,632
15577078,0.6,0,1,0.0,539
15774151,0.69,2,1,179915.85,614
15739576,0.0,1,0,0.0,706
15627830,0.07,0,0,32197.64,640
15763662,0.04,1,0,39043.29,711
15737408,0.1,2,0,109941.51,703
15727811,0.88,2,1,109493.62,661
15657830,0.08,2,0,87624.03,663
15673820,0.01,1,0,0.0,568
15801920,0.04,2,0,80615.46,727
15727819,0.05,0,0,171671.9,677
15661745,0.07,0,0,0.0,557
15768682,0.04,0,0,0.0,640
15738954,0.05,2,0,129717.3,551
15674541,0.89,2,1,123925.23,575
15707962,0.02,2,0,119501.88,606
15657468,0.37,2,0,123805.03,711
15782159,0.02,1,0,67639.56,850
15600583,0.01,2,0,0.0,633
15713532,0.27,2,0,105957.44,646
15686463,0.66,2,1,141074.59,626
15722533,0.01,1,0,0.0,716
15671293,0.71,0,1,128389.63,779
15676937,0.7,1,1,0.0,635
15689671,0.05,0,0,0.0,775
15608406,0.64,2,1,111128.04,678
15669887,0.9,0,1,0.0,839
15775294,0.74,1,1,0.0,692
15712903,0.08,0,0,176511.08,499
15585599,0.01,1,0,0.0,530
15619801,0.02,0,0,80107.83,548
15691625,0.18,2,0,138306.34,537
15652782,0.08,0,0,101099.9,678
15727605,0.05,0,0,80442.06,533
15699598,0.02,1,0,0.0,723
15798341,0.06,0,0,0.0,544
15729246,0.0,1,0,0.0,847
15615050,0.73,0,1,107915.94,575
15815236,0.0,1,0,0.0,574
15763055,0.03,0,0,98108.79,572
15695129,0.02,0,0,152663.77,718
15754820,0.01,0,0,147127.81,637
15566495,0.66,2,1,0.0,704
15752375,0.06,2,0,149564.61,645
15615753,0.11,0,0,131101.04,597
15676353,0.0,0,0,114212.6,598
15768476,0.0,1,0,0.0,703
15630920,0.04,2,0,154485.74,724
15712960,0.0,0,0,171653.17,613
15623277,0.0,1,0,0.0,696
15665158,0.03,0,0,137275.36,813
15814022,0.02,2,0,89928.99,714
15771535,0.01,1,0,0.0,794
15738516,0.22,2,0,0.0,687
15809087,0.76,1,1,0.0,598
15763806,0.01,1,0,0.0,773
15595039,0.72,2,1,114754.08,545
15651802,0.03,2,0,97854.37,632
15642824,0.64,0,1,174506.1,826
15621550,0.94,1,1,140292.58,535
15667871,0.03,2,0,152390.26,572
15569917,0.61,2,1,87609.68,706
15743051,0.02,0,0,144684.03,694
15714610,0.0,1,0,0.0,575
15658052,0.75,2,1,81553.93,626
